author,body,prefix,summary,title,url
Ana Zuñiga,"
En el segundo día de reactivación de servicio del Sistema de Transporte Masivo de Barranquilla, luego de que se suspendiera por tres días, los usuarios de Transmetro han cumplido con las medidas adoptadas para evitar aglomeraciones tanto en los vehículos como en las estaciones.
En un recorrido que realizó EL HERALDO por las diferentes estaciones de Transmetro, se pudo observar que los usuarios están cumpliendo con cada una de las medidas dadas para evitar el riesgo de contagio por COVID-19.
En la estación Joe Arroyo, la más grande de la ciudad, se pudo observar que todos los usuarios hacen uso del tapabocas. Además, respetan la distancia para esperar el transporte, para ello, en el piso fueron puestas cintas que indican el lugar donde debe estar cada usuario respetando el distanciamiento social.
Los guías y el personal de la empresa se encargan a través de megáfonos de dar las instrucciones a los usuarios sobre el comportamiento que deben tener mientras esperan el vehículo, así como el acceso a este.
Uno de los guías de la empresa manifestó que los usuarios han tenido un “buen comportamiento” y cumplimiento de las normas por parte de los usuarios. “El comportamiento ha sido exitoso, de maravilla, las personas se han portado a la altura, no como otros días, y han acatado la norma y las directrices. No hemos tenido ningún inconveniente”, dijo Jorge Espitia.
Transmetro además amplió su flota y pasó de 147 a 189 buses en circulación, lo que permitió ajustes en las frecuencias de las rutas troncales y alimentadoras, especialmente en horas pico, disminuyendo los tiempos de espera de los usuarios y la gran afluencia en las estaciones.
En cuanto a la ampliación de la flota, los usuarios se encuentran de acuerdo y resaltan la mejoría visible gracias a las nuevas medidas. “Pienso que están adoptando de manera correcta las medidas, ya que anteriormente colapsaban las unidades. En estos momentos han mejorado bastante porque han salido unidades que estaban paradas en la estación”, dijo Norbelio Carrero, usuario del sistema de transporte masivo.
Adicional a eso, entre las 5:00 a.m. a 8:00 a.m. y 4:00 p.m. hasta el cierre, policías, guías y personal de Transmetro refuerzan el control en las estaciones, velando porque los usuarios cumplan con las medidas y que no se presente ninguna aglomeración o altercado.
Por otra parte, para cumplir con el 35% de ocupación dentro de los buses, se estipuló que las personas deben ir sentadas en todas las sillas y solo debe ir un número específico de pie en los lugares estipulado por la empresa con material gráfico.
",," Se está respetando el aforo permitido para los buses.
",En video | Usuarios de Transmetro acatan nuevas medidas de distanciamiento,https://www.elheraldo.co/barranquilla/en-video-usuarios-de-transmetro-acatan-nuevas-medidas-de-distanciamiento-724179
Sandra Carrillo,"
Desde que comenzó la cuarentena, muchos colegios públicos y privados comenzaron a implementar la educación virtual para asegurar la continuidad en la formación de los estudiantes, lo que ha generado en algunos padres de familia inconformidades por el sistema.
Algunos acudientes dicen que la situación se torna “difícil” porque algunos colegios no tienen en cuenta si los papás teletrabajan, cuántos computadores hay disponible en casa o si tienen servicio de internet. Además, sobrecargan a los niños de tareas. 
En el caso de niños en los niveles de kinder y primaria, los padres o cuidadores aseguran que todo el tiempo deben estar sentados con ellos porque “no puedes dejar a un niño solo en un computador”.
Sin embargo, reconocen que a medida que han pasado los días se han ido familiarizando con las clases y los profesores han mejorado la metodología de estudio.
Elsy Robles, rectora de la Institución Educativa Sofía Camargo de Lleras, aseguró que han tenido que hacer un proceso de formación con los padres de familia de las estudiantes menores -a través de videos explicativos- para que puedan acompañarlas en sus procesos escolares.
Con las alumnas mayores, que no necesitan acompañamiento de sus acudientes por tener conocimiento en el uso de plataformas digitales, se trabaja con horarios preestablecidos -de acuerdo con la recomendación del Ministerio de Educación- de cuatro horas las de bachillerato y cinco horas las de décimo y undécimo (quienes tenían jornada única).
Aseguró que además de destinar los viernes para hacer retroalimentaciones y mirar de qué manera pueden mejorar la calidad del estudio, los profesores -dependiendo la disponibilidad del tiempo- se encargan de verificar todos los días que las alumnas estén aprendiendo.
Elsy Robles dio a conocer que en el colegio tienen un porcentaje mínimo de estudiantes de estrato 1, las cuales no tienen acceso a plataformas digitales, por lo que han optado en entregar de manera física a su acudiente las actividades para realizar en casa.
La clave del éxito
 Carmen Ricardo, coordinadora de la Maestría en Educación Medida por TIC de la Universidad del Norte, aseguró que el éxito de la educación a distancia en ambientes escolares y universitarios depende de factores como el profesorado, el sistema de las instituciones y los alumnos.
Explicó que es importante que los profesores tengan las competencias necesarias en el uso de la tecnología para diseñar los escenarios de aprendizaje correctos para este tipo de formación y tener en cuenta la población a la que se dirigen, ya que no es la misma metodología para los estudiantes de grados avanzados que para los que apenas están comenzando su vida escolar.
Sobre estos últimos, señaló que los educadores deben trabajar de la mano de los padres de familia y formarlos porque son los que están acompañando a los niños desde las casas.
En el caso de las instituciones educativas, resaltó la importancia de tener recursos y una infraestructura que permita brindar las herramientas necesarias para desarrollar el plan de estudio. Además, señaló que deben tener un nivel de apropiación en la formación de los maestros.
Por otro lado, se encuentran los estudiantes -que de una u otra forma- logran desenvolverse en el uso de tecnologías y el proceso de estudio se les facilita. Sin embargo, hay algunos que carecen de estos dispositivos electrónicos por su condición económica, lo que hace que los colegios deban implementar estrategias diferentes en la medida de lo que sea posible.
“En estos momentos, la educación se está enfrentando a un reto, dejar de hacer las clases virtuales sería peor que no crear un escenario de formación para los estudiantes”, dijo la experta en educación virtual. 
Carmen Ricardo señaló que si Colombia va a enfrentar un nuevo semestre con la metodología de educación a distancia, se pueden hacer adaptaciones y transformaciones para poder acompañar estos procesos formativos con el propósito de mejorar la experiencia de los alumnos.
Reconoció que en algunos colegios y hogares no será sencillo por la falta de recursos y herramientas, por lo que la idea es buscar apoyo del Gobierno y evitar que se suspenda la educación.
",," Experta explica los diferentes elementos aplicar con éxito esta práctica de estudio. Maestros deben tener conocimientos y dominio de las herramientas digitales.
",Padres al límite por la educación en casa,https://www.elheraldo.co/barranquilla/padres-al-limite-por-la-educacion-en-casa-724177
Redacción Locales,"
En Barranquilla entró a regir un nuevo ‘pico y cédula’. La medida de restricción máxima de circulación, con la que se busca frenar la propagación del coronavirus en la ciudad, establece que será de un (1) dígito por día de lunes a viernes. Es decir, que una persona podrá salir de su vivienda cada quince días para realizar las diligencias que necesite.
La restricción implica que durante el fin de semana las personas solo podrán salir de su casa a trabajar y a emergencias médicas, hasta que se levanten las medidas de aislamiento obligatorio el 25 de mayo.
El Decreto 0443, que lleva la firma del alcalde Jaime Pumarejo, también establece que ningún día de la semana estarán permitidas las fiestas, reuniones familiares en ocasión al día de la madre, serenatas y los vendedores informales.
 Entre tanto, los días sábados y domingos no se permitirá la atención al público en supermercados y mercados públicos. Solo podrá comprarse a domicilio. En estos días tampoco podrán realizarse actividades físicas.
Todos los ciudadanos, sin excepción, podrán realizar actividad física individual de lunes a viernes, en el horario de 5:00 a.m. a 7:00 a.m. El pico y cédula no rige en este horario.  
Por otra parte, las personas podrán sacar las mascotas para que hagan sus necesidades fisiológicas solo cerca de su lugar de residencia.
El alcalde Pumarejo igualmente recordó a los ciudadanos que si no se toman acciones para aplanar la curva de contagio se verá obligado a implementar un toque de queda 24 horas, lo que deteriorará la economía y la salud mental de los habitantes de esta ciudad.
Lea también: En video | Alcalde Pumarejo envió piloto al Gobierno para reactivar sector comercial e independiente
“Este virus vino no solo a incomodarnos, vino a probarnos como sociedad y como humanidad. Si no tomamos acciones, nos vamos a contagiar de una manera desmedida. Si no atajamos la curva de contagio, antes de que tome carrera, llegará a un punto irreversible en donde habrá que tener toque de queda 24 horas y ahí la economía, nuestras vidas y nuestra salud mental se deteriorará”, expuso el alcalde.
Cambiar comportamiento
Finalmente, recordó a los barranquilleros que a partir del lunes se reactivan nuevos sectores de la economía, por lo que nuevamente hizo un llamado a los ciudadanos para que acaten las nuevas medidas establecidas a nivel nacional y distrital.
“El lunes entran otros sectores de la economía a trabajar. Ya está entrando poco a poco la industria, ha ido entrando el sector de la construcción y ahora entrará el comercio conexo a las industrias que ya están trabajando. Tomamos la medida de restringir la movilidad y abocarnos a cambiar nuestro comportamiento y darnos cuenta de que salir hoy en día a la calle es un privilegio y una responsabilidad.
El mandatario insistió en que la idea es salir “cuidándonos y hacerlo cuando debemos hacerlo”.
",," El decreto de la Alcaldía establece que los días sábados y domingos no se permitirá la atención al público en supermercados y mercados públicos. Solo podrá comprarse a domicilio. 
",Estas son las nuevas medidas que se aplican desde hoy en Barranquilla,https://www.elheraldo.co/barranquilla/estas-son-las-nuevas-medidas-que-se-aplican-desde-hoy-en-barranquilla-724176
Sandra Carrillo,"
El Ministerio de Salud reportó el martes que por búsqueda activa de contagiados por COVID-19 se detectaron 27 conglomerados en 13 territorios del país, entre los que se encuentran Barranquilla, Atlántico (Soledad), Santa Marta y Magdalena.
La rápida expansión del virus en estos territorios ha llevado a identificar ciertos focos de contagio en grupos poblacionales que comparten un mismo espacio físico o incluso territorial.
EL HERALDO consultó a varios médicos epidemiólogos, quienes definieron el término como un grupo de personas que comparten ciertas características que los hace únicos al compararse con el exterior y que tienen relación estrecha.
Carmen Laborde, médica epidemióloga de la Universidad del Norte, asegura que Soledad y Barranquilla –incluyendo el área metropolitana– podrían llamarse un conglomerado porque es “como si fuera sola” al tener distancias fronterizas muy cortas.
Explicó que el crecimiento de Barranquilla hacia sus alrededores a una velocidad “muy grande” hace que los municipios no se preparen económicamente para crecer a la misma velocidad.
“Por eso existen las áreas metropolitanas, por si existe este fenómeno, y en esas áreas los alcaldes confluyen económicamente para tratar los problemas que se presenten”, dijo.
Afirmó que el problema de los conglomerados en una coyuntura como la de la COVID-19 “se convierte en una bomba de tiempo para las comunidades” porque la expansión del virus crece desmedidamente.
Álvaro Villanueva, médico infectólogo de la Universidad de Harvard, dijo que no le gusta señalar a las ciudades o departamentos como conglomerados. Sin embargo, aseguró que en el interior de estas debe haberlos ya que hay grupos y subgrupos que tienen manifestaciones muy similares, en este momento manifestaciones compatibles como el coronavirus.
“Son un colectivo (las ciudades) que en estos momentos se pueden llamar así, pero dentro del término epidemiológico no lo llamaría porque los clústeres son grupos más pequeños”, dijo Villanueva, quien afirmó que en este caso se puede usar el término teniendo en cuenta que están teniendo un crecimiento de contagiados exponencial en una zona determinada.
Explicó que los conglomerados sirven para hacer seguimiento a un foco de enfermedad y poder hacer un tratamiento exitoso.
Por su parte, Jorge Acosta, médico epidemiólogo clínico y coordinador de la maestría en Epidemiología Clínica de la Universidad del Norte, indicó que los peligros de estos clústeres se dan por el riesgo de contagio al no ser exhaustivos con las medidas de prevención.
Aseguró que el hecho de no usar tapabocas, saludar de manos, hacer intercambio de celulares u otro objeto y no tener un lavado de manos adecuado genera un riesgo para la salud.
Sin embargo, afirmó que estar o habitar en un conglomerado no convierte a las personas en un riesgo, siempre y cuando se tengan en cuenta todas las medidas de protección sanitaria.
Acosta dio como ejemplo los contagios en el interior de una estación de Policía. Explicó que no se puede decir que hubo 15 o 20 casos positivos de coronavirus porque ninguno de los uniformados usaba tapabocas; “seguramente es que en algún momento dejaron de ser exhaustivos y algunos dejaron de mantener los métodos de aseo preventivos requeridos”.
Recordó que hay que insistir en el lavado de manos –mínimo 20 segundos– como mejor método de prevención. 
Señaló que esta acción necesariamente debe hacerse con agua y jabón porque el líquido solo no destruye la capa del virus.
Sobre el uso de alcohol explicó que se puede hacer, pero no solo en las palmas de las manos, sino ungir toda la superficie.
Recordó la importancia del uso adecuado del tapabocas, sobre todo en reuniones en las que también se debe guardar distancia de mínimo dos metros entre personas.
Jorge Acosta aconsejó virtualizar las reuniones en la medida de lo que sea posible, teniendo en cuenta que una persona podría contagiar a tres más y la cadena de enfermos seguiría creciendo hasta que se fraccione la cadena, y en caso de hacerse por mantener todos los cuidados necesarios.
Sobre la decisión de señalar a Atlántico como un conglomerado, el experto dijo que no se podía decir que los departamentos lo son, ya que “no aplica el término” por el hecho de la existencia de contagiados.
Explicó que de ser así estaríamos todos con un riesgo mayor al que ya estamos expuestos y tendría que haber una interacción recurrente.
Sin embargo, dijo que una plaza de mercado podría ser un conglomerado ya que la interacción que hay entre los vendedores, los compradores y el personal de carga o coteros es constante y de ahí podría desencadenarse un contagio masivo.
Ambos epidemiólogos concluyeron que se debe hacer un trabajo de responsabilidad social con los ciudadanos frente a su propia condición de salud, crear campañas de prevención y unificar esfuerzos entre gobiernos.
70 personas están en zonas de aislamiento
La Gobernación del Atlántico aseguró que 70 personas confirmadas como positivas para COVID-19 se encuentran cumpliendo la cuarentena en las en las seis zonas de aislamiento que funcionan en el departamento.
Los ciudadanos que han sido llevados hasta estas zonas, de acuerdo con las autoridades, son aquellos que no pueden cumplir la cuarentena en su residencia, por las condiciones en las que viven.
La gobernadora Elsa Noguera recordó que las zonas de aislamiento -que cuentan con 1.500 camas- se abrirán de manera gradual, en la medida en que se vayan necesitando para que los atlanticenses contagiados con la enfermedad puedan cumplir cabalmente con la cuarentena.
La gobernadora también recordó que las personas deben autorregularse y convertirse en guardianes de la salud porque no habrá camas suficientes si hay indisciplina social.
 “Entendamos que esto es enserio, que el coronavirus es como estar en medio de una guerra que no tiene balas, pero es una guerra contra un enemigo invisible que hoy está siendo implacable y atenta contra la vida de todos”, dijo la mandataria departamental.
Los albergues funcionarán en las cinco subregiones del departamento y contarán con todas las medidas sanitarias, así como con servicio de alimentación, para los pacientes que allí sean recluidos.
",," EL HERALDO consultó a varios epidemiólogos, quienes explicaron qué es un conglomerado y los peligros de estos en tiempos de la COVID-19.
",Identifican 27 conglomerados en 13 territorios del país ,https://www.elheraldo.co/barranquilla/identifican-27-conglomerados-en-13-territorios-del-pais-724169
Redacción  ELHERALDO.CO,"
La Alcaldía de Barranquilla, a través de la Secretaría Distrital de Salud, informó que habilitó la consulta en línea para las personas que deseen conocer el resultado de sus pruebas realizadas para determinar COVID-19.
Inicialmente se podrán consultar los resultados de pruebas realizadas a partir del 18 de abril de 2020 en la ciudad de Barranquilla.
Los ciudadanos podrán verificar de manera rápida y simple el resultado negativo de las pruebas practicadas por la Secretaría Distrital de Salud, las EPS (o Empresas Aseguradoras de Planes de Beneficios- EAPB) a través de los laboratorios departamental del Atlántico y el de Virología y Genética de la Universidad Simón Bolívar.
Esta consulta podrá realizarse en resultados pruebas covid. El enlace también podrá ser consultado en la web de la Secretaría Distrital de Salud
Cómo acceder
Para acceder solo hay que cumplir dos pasos:
• Digitar el TIPO de documento identidad.
• Digitar el NÚMERO de documento de identidad.
Después de validar sus datos, los usuarios encontrarán:
• El estado de la prueba (Muestra tomada/recibida en laboratorio/, procesada con resultado.
• Podrán descargar el soporte de laboratorio en formato PDF con los resultados de su prueba.
El Distrito, desde la Secretaría de Salud, garantiza que esta consulta se realiza con el cumplimiento de todas las medidas de protección de datos y confidencialidad.
",," Se podrán mirar resultados de las pruebas hechas desde el 18 de abril inicialmente.
",Habilitan consulta en línea para resultados por COVID-19 en Barranquilla,https://www.elheraldo.co/barranquilla/habilitan-consulta-en-linea-para-resultados-por-covid-19-en-barranquilla-724099
Andres Gaitán,"
Un presunto abuso de autoridad por parte de miembros de la Policia Metropolitana de Barranquilla fue denunciado en la tarde de este miércoles por habitantes del barrio Las Candelarias II etapa, a través de la línea Wasapea a EL HERALDO. Los hechos ocurrieron alrededor de las 4:40 p.m., en la diagonal 59 N°1C – 62. 
Según relata una moradora del sector a este medio, bajo petición de anonimato, ""los policías venían persiguiendo a tres hombres que iban en tres motos diferentes y en la mitad de la calle había un niño y de rabia ellos le pegaron porque las personas que estaban persiguiendo se escaparon”.
Por niño, la testigo se refiere a un adolescente de 14 años, quien, según afirma, no tenía nada que ver con las personas que la policía estaban persiguiendo. 
Agrega la testigo que la mamá del adolescente, Yudirilis Díaz, salió a reclamar porque le habían pegado a su hijo y los uniformados, supuestamente, “le partieron la boca a la señora”. 
Además, según la denunciante, los policías también agredieron a otros familiares del adolescente. Al parecer a unos tíos, porque estos reclamaron el maltrato al que estaban siendo sometidos la mujer y su hijo. 
Como prueba, la vecina mostró unos videos en los cuales se observa a un grupo de policías tratando de entrar a la vivienda, donde al parecer se había resguardado el adolescente. También mostró fotografías de quienes fueron golpeados. 
En las imágenes, se observa la pelea entre los policías y varios ciudadanos que están en la vivienda y luego, al trasladarse el combate a la calle, se escuchan disparos, los cuales, de acuerdo con la testigo, hicieron los uniformados al suelo, “muy cerca de la mamá del niño”.
 
",," Afirman que la Policía se llevó a dos habitantes del sector y hasta el momento no saben si están en ""una clínica o en una estación”. Comandante de la Mebar señala que uniformados perseguían a una mujer que tenía orden de captura.
",En video | Denuncian presunto abuso de autoridad en el barrio Las Candelarias II,https://www.elheraldo.co/judicial/en-video-denuncian-presunto-abuso-de-autoridad-en-el-barrio-las-candelarias-ii-724104
Flor Díaz,"
Tras la denuncia en video realizada a través de la línea Wasapea a EL HERALDO a la Policía Ambiental y Protección Animal, donde se observaba a un canino encerrado en el balcón de un edificio, un grupo de uniformados se acercó al lugar para constatar lo que ocurría con el perro.
Según informó la Policía, el dueño de la mascota explicó los motivos por los cuales permanecía en el balcón bajo el inclemente sol.
“No se pudo ingresar al apartamento por cuestiones de bioseguridad y medidas preventivas, pero se tuvo contacto con el propietario del apartamento, quien manifiesta que por tener niños pequeños en el mismo, no puede mantenerlo en el interior”, le aseguró a EL HERALDO el intendente a cargo de la revisión del caso.
Añadió que “el canino que tiene 50 días de nacido y es de raza rottweiler será trasladado a una finca del dueño del animal, ya que es un perro que crece mucho y lo hará por seguridad de los niños”.
Según el grupo de Protección Animal, “se le recomendó que durante su estadía en el apartamento, el canino debe tener su polisombra y su cojín o cama para su descanso, se le habló de la Ley 1774 del 2016 y del artículo 339 A del Código Penal Colombiano” que trata sobre los delitos contra la vida, la integridad física y emocional de los animales.
 
",," Según informó la Policía Ambiental y Protección Animal, ""el canino que tiene 50 días de nacido y es de raza rottweiler será trasladado a una finca del dueño del perro"". El hecho fue reportado a través de la línea Wasapea a EL HERALDO.
",En video | Perro dejado en un balcón será trasladado a una finca de su dueño,https://www.elheraldo.co/barranquilla/en-video-perro-dejado-en-un-balcon-sera-trasladado-una-finca-de-su-dueno-724075
Flor Díaz,"
En un basurero a cielo abierto se estaba convirtiendo la esquina de la calle 46 con carrera 3C en el barrio Villa Elif, en Soledad. Según reportes hechos por vecinos del sector a través de la línea Wasapea a EL HERALDO, moradores de barrios cercanos, así como recicladores, tienen por “costumbre” arrojar todo tipo de desechos en ese lugar.
“Personas que viven alrededor de la urbanización como el Prado Soledad nos llenan la esquina de basura. Los recicladores vienen, abren las bolsas y vuelven eso un basurero. Los olores son insoportables, hay moscas, eso puede convertirse en un foco de infección para los niños del barrio”, incluso, contó el denunciante, “los mismos encargados de recoger la basura vienen con el camión y la botan allí”.
EL HERALDO notificó de la situación a Interaseo, la empresa encargada de los servicios públicos de aseo, acueducto y saneamiento en Soledad, quien a través de Celeste Rangel, jefe Jurídico de Interventoría, aseguró que no “hay ninguna posibilidad que personal de Interaseo estuviera haciendo tales prácticas”.
“La empresa tiene el protocolo de pasar obligatoriamente los residuos por básculas en el relleno sanitario para que se puedan cobrar. Sino pasan, no se cobran. Como interventoría, tenemos un sistema a ellos (recolectores) a través de GPS. Cada vehículo recolector tiene un chip que revisamos y en el que miramos los movimientos constates del vehículo”, explicó.
Rangel afirmó que los desechos allí arrojados, se deben a la mala práctica de recicladores o recolectores informales, así como también a la falta de cultura de algunos ciudadanos.
Al cierre de esta nota, Interaseo informó que la basura que se encontraba en el lugar denunciado por vecinos, fue retirada por una cuadrilla.
 
 
",," Según reportes hechos por vecinos del sector a través de la línea Wasapea a EL HERALDO, moradores de barrios cercanos, así como recicladores, tienen por “costumbre” arrojar todo tipo de desechos en ese lugar.
",Retiran basurero denunciado en barrio Villa Elif de Soledad,https://www.elheraldo.co/barranquilla/retiran-basurero-denunciado-en-barrio-villa-elif-de-soledad-723994
Flor Díaz,"
Tras la denuncia en video realizada a través de la línea Wasapea a EL HERALDO a la Policía Ambiental y Protección Animal, donde se observaba a un canino encerrado en el balcón de un edificio, un grupo de uniformados se acercó al lugar para constatar lo que ocurría con el perro.
Según informó la Policía, el dueño de la mascota explicó los motivos por los cuales permanecía en el balcón bajo el inclemente sol.
“No se pudo ingresar al apartamento por cuestiones de bioseguridad y medidas preventivas, pero se tuvo contacto con el propietario del apartamento, quien manifiesta que por tener niños pequeños en el mismo, no puede mantenerlo en el interior”, le aseguró a EL HERALDO el intendente a cargo de la revisión del caso.
Añadió que “el canino que tiene 50 días de nacido y es de raza rottweiler será trasladado a una finca del dueño del animal, ya que es un perro que crece mucho y lo hará por seguridad de los niños”.
Según el grupo de Protección Animal, “se le recomendó que durante su estadía en el apartamento, el canino debe tener su polisombra y su cojín o cama para su descanso, se le habló de la Ley 1774 del 2016 y del artículo 339 A del Código Penal Colombiano” que trata sobre los delitos contra la vida, la integridad física y emocional de los animales.
 
",," Según informó la Policía Ambiental y Protección Animal, ""el canino que tiene 50 días de nacido y es de raza rottweiler será trasladado a una finca del dueño del perro"". El hecho fue reportado a través de la línea Wasapea a EL HERALDO.
",En video | Perro dejado en un balcón será trasladado a una finca de su dueño,https://www.elheraldo.co/barranquilla/en-video-perro-dejado-en-un-balcon-sera-trasladado-una-finca-de-su-dueno-724075
Redacción  ELHERALDO.CO,"
El alcalde de Barranquilla, Jaime Pumarejo, explicó los alcances de las nuevas medidas que empezarán a regir en la ciudad desde este jueves 7 de mayo para enfrentar la propagación del coronavirus en la capital del Atlántico.
Reveló que se elevó de parte del Distrito una solicitud al Gobierno Nacional para lograr que el sector comercial y los servicios independientes puedan volver a funcionar en la ciudad con estrictas medidas de bioseguridad.
""Con el piloto que solicitaremos al Gobierno Nacional, buscamos que manicuristas, peluqueros, carpinteros, técnicos de aires acondicionado, entre otros trabajadores independientes, retomen sus labores siempre y cuando se certifiquen en medidas de bioseguridad”, manifestó Pumarejo.
El mandatario local agregó: ""Estas medidas son duras, las fechas del 'pico y cédula' las adoptamos para atajar la curva de contagio. Este es un esfuerzo que nos cuesta y si lo hacemos bien revaluaremos las medidas”.
En video | Así funcionará el nuevo ‘pico y cédula’ en Barranquilla
Así mismo, insistió en que salir a la calle es una gran responsabilidad, solo debe hacerse cuando sea necesario y con el obligatorio uso de tapabocas, por los que cuestionó las aglomeraciones que se estaban presentando en entidades bancarias.
""Sobre los pensionados, los bancos tienen la obligación de facilitar alternativas para el cobro de pensiones porque no queremos que se expongan saliendo a las calles”, dijo Pumarejo.
El alcalde agregó que medidas como el nuevo 'pico y cédula' buscan atajar la curva de contagio y no descartó revaluar algunas iniciativas adoptadas de acuerdo a la evaluación que se tenga sobre el progreso de los casos de contagio por COVID-19.
",," Se busca que trabajadores independientes como manicuristas, peluqueros, carpinteros, entre otros, retomen sus labores con medidas de bioseguridad.
",En video | Alcalde Pumarejo envió piloto al Gobierno para reactivar sector comercial e independiente,https://www.elheraldo.co/barranquilla/en-video-alcalde-pumarejo-envio-piloto-al-gobierno-para-reactivar-sector-comercial-e
